Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_Disc_D3.0mm_W1.6mm_P2.50mm",34.518600,-62.052200,180.000000,top
"C2","0.1u","C_Disc_D3.0mm_W1.6mm_P2.50mm",28.682000,-61.976000,180.000000,top
"C3","1u","C_Disc_D3.0mm_W1.6mm_P2.50mm",26.075000,-94.869000,0.000000,top
"D1","LED","LED_D5.0mm",44.356400,-80.010000,90.000000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",51.562000,-53.340000,0.000000,top
"J2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",51.562000,-99.136200,0.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",28.676600,-53.192800,90.000000,top
"J4","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",28.295600,-101.539000,90.000000,top
"J5","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",39.776400,-55.422800,0.000000,top
"J6","Barrel_Jack_Switch","BarrelJack_Horizontal",37.978600,-78.409800,0.000000,top
"J7","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",39.776400,-99.309000,0.000000,top
"R1","330","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",46.482000,-91.186000,180.000000,top
"R2","330","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",38.354000,-71.374000,0.000000,top
"R3","560","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",38.996400,-87.071200,0.000000,top
"SW1","EG1218","SW_1218_EWI",39.145200,-66.141600,90.000000,top
"U1","LM7805_TO220","TO-220-3_Vertical",32.512000,-67.564000,180.000000,top
"U2","LM317_TO-220","TO-220-3_Vertical",26.847800,-89.484200,0.000000,top
